--------------------------------------------------------------------------------
Marvellous Process Logger : Fri Apr 26 00:25:58 2019
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'chrome.exe', 'pid': 9644, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 21.01953125}
{'name': 'svchost.exe', 'pid': 9928, 'username': None, 'vms': 1.7890625}
{'name': 'RdrCEF.exe', 'pid': 10076, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 72.98046875}
{'name': 'dllhost.exe', 'pid': 10124, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.515625}
{'name': 'chrome.exe', 'pid': 10444, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 33.26171875}
{'name': 'svchost.exe', 'pid': 10528, 'username': None, 'vms': 1.421875}
{'name': 'MsMpEng.exe', 'pid': 10548, 'username': None, 'vms': 447.57421875}
{'name': 'SearchUI.exe', 'pid': 10720, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 108.76953125}
{'name': 'svchost.exe', 'pid': 10800, 'username': None, 'vms': 1.8359375}
{'name': 'ShellExperienceHost.exe', 'pid': 10808, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 38.1484375}
{'name': 'chrome.exe', 'pid': 10876, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 124.828125}
{'name': 'chrome.exe', 'pid': 10984, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 116.87109375}
{'name': 'RdrCEF.exe', 'pid': 10992, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 58.484375}
{'name': 'audiodg.exe', 'pid': 11036, 'username': None, 'vms': 12.0234375}
{'name': 'RuntimeBroker.exe', 'pid': 11052, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 7.43359375}
{'name': 'RadeonSettings.exe', 'pid': 11244, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 147.51953125}
{'name': 'chrome.exe', 'pid': 11268, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 40.0078125}
{'name': 'SettingSyncHost.exe', 'pid': 11352, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 15.515625}
{'name': 'svchost.exe', 'pid': 11364, 'username': None, 'vms': 2.55859375}
{'name': 'bittorrentie.exe', 'pid': 11408, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 72.265625}
{'name': 'RuntimeBroker.exe', 'pid': 11552, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 5.4765625}
{'name': 'sihost.exe', 'pid': 11560, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 6.78125}
{'name': 'ApplicationFrameHost.exe', 'pid': 11772, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 20.73046875}
{'name': 'AcroRd32.exe', 'pid': 11812, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 202.45703125}
